PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,BATS,IDPLAYER
Will Rhymes,Will,Rhymes,N/A,2B,,,L,rhymewi01
Alex Rios,Alex,Rios,N/A,OF,5880,Alex Rios,R,riosal01
Juan Rivera,Juan,Rivera,N/A,OF,4956,Juan Rivera,R,riverju01
Brian Roberts,Brian,Roberts,N/A,2B,4773,Brian Roberts,B,roberbr01
Ryan Roberts,Ryan,Roberts,N/A,3B,28532,Ryan Roberts,R,roberry01
Trayvon Robinson,Trayvon,Robinson,N/A,OF,29639,Trayvon Robinson,B,robintr01
Alex Rodriguez,Alex,Rodriguez,N/A,DH,3115,Alex Rodriguez,R,rodrial01
Henry Rodriguez,Henry,Rodriguez,N/A,2B,31331,Henry Rodriguez,B,rodrihe04
Ivan Rodriguez,Ivan,Rodriguez,N/A,C,2523,Ivan Rodriguez,R,rodriiv01
Scott Rolen,Scott,Rolen,N/A,3B,,,R,rolensc01
Jimmy Rollins,Jimmy,Rollins,N/A,SS,4258,Jimmy Rollins,B,rolliji01
Stefen Romero,Stefen,Romero,N/A,OF,32204,Stefen Romero,R,romerst01
Wilin Rosario,Wilin,Rosario,N/A,1B,30197,Wilin Rosario,R,rosarwi01
Cody Ross,Cody,Ross,N/A,OF,5404,Cody Ross,R,rossco01
David Ross,David,Ross,N/A,C,5206,David Ross,R,rossda01
Aaron Rowand,Aaron,Rowand,N/A,OF,,,R,rowanaa01
Darin Ruf,Darin,Ruf,N/A,1B,31470,Darin Ruf,R,rufda01
Freddy Sanchez,Freddy,Sanchez,N/A,SS,,,R,sanchfr01
Gaby Sanchez,Gaby,Sanchez,N/A,1B,29270,Gaby Sanchez,R,sanchga01
Tony Sanchez,Tony,Sanchez,N/A,C,30584,Tony Sanchez,R,sanchto01
Ramon Santiago,Ramon,Santiago,N/A,SS,5178,Ramon Santiago,B,santira01
Dave Sappelt,Dave,Sappelt,N/A,OF,30797,Dave Sappelt,R,sappeda01
Josh Satin,Josh,Satin,N/A,1B,31297,Josh Satin,R,satinjo01
Nate Schierholtz,Nate,Schierholtz,N/A,OF,28815,Nate Schierholtz,L,schiena01
Skip Schumaker,Skip,Schumaker,N/A,OF,6307,Skip Schumaker,L,schumsk01
Luke Scott,Luke,Scott,N/A,DH,6229,Luke Scott,L,scottlu01
Marco Scutaro,Marco,Scutaro,N/A,2B,5217,Marco Scutaro,R,scutama01
Kelly Shoppach,Kelly,Shoppach,N/A,C,6200,Kelly Shoppach,R,shoppke01
Moises Sierra,Moises,Sierra,N/A,OF,30675,Moises Sierra,R,sierrmo01
Grady Sizemore,Grady,Sizemore,N/A,OF,5882,Grady Sizemore,L,sizemgr01
Scott Sizemore,Scott,Sizemore,N/A,3B,29388,Scott Sizemore,R,sizemsc01
Kyle Skipworth,Kyle,Skipworth,N/A,C,31021,Kyle Skipworth,L,skipwky01
Chris Snyder,Chris,Snyder,N/A,C,6070,Chris Snyder,R,snydech02
Alfonso Soriano,Alfonso,Soriano,N/A,OF,3993,Alfonso Soriano,R,soriaal01
Ryan Spilborghs,Ryan,Spilborghs,N/A,OF,,,R,spilbry01
Ian Stewart,Ian,Stewart,N/A,3B,28722,Ian Stewart,L,stewaia01
Drew Stubbs,Drew,Stubbs,N/A,OF,29611,Drew Stubbs,R,stubbdr01
Ryan Sweeney,Ryan,Sweeney,N/A,OF,28578,Ryan Sweeney,L,sweenry01
Nick Swisher,Nick,Swisher,N/A,OF,5937,Nick Swisher,B,swishni01
Jose Tabata,Jose,Tabata,N/A,OF,29469,Jose Tabata,R,tabatjo01
Oscar Taveras,Oscar,Taveras,N/A,OF,31207,Oscar Taveras,L,taveros01
Taylor Teagarden,Taylor,Teagarden,N/A,C,29191,Taylor Teagarden,R,teagata01
Mark Teahen,Mark,Teahen,N/A,3B,,,L,teahema01
Mark Teixeira,Mark,Teixeira,N/A,1B,4937,Mark Teixeira,B,teixema01
Miguel Tejada,Miguel,Tejada,N/A,SS,3727,Miguel Tejada,R,tejadmi01
Blake Tekotte,Blake,Tekotte,N/A,OF,30842,Blake Tekotte,L,tekotbl01
Ryan Theriot,Ryan,Theriot,N/A,2B,6437,Ryan Theriot,R,theriry01
Josh Thole,Josh,Thole,N/A,C,30188,Josh Thole,L,tholejo01
Jim Thome,Jim,Thome,N/A,1B,2604,Jim Thome,L,thomeji01
Steve Tolleson,Steve,Tolleson,N/A,OF,29437,Steve Tolleson,R,tollest01
Andres Torres,Andres,Torres,N/A,OF,5089,Andres Torres,B,torrean02
Yorvit Torrealba,Yorvit,Torrealba,N/A,C,4568,Yorvit Torrealba,R,torreyo01
Chad Tracy,Chad,Tracy,N/A,3B,5402,Chad Tracy,L,tracych01
Carlos Triunfel,Carlos,Triunfel,N/A,SS,29503,Carlos Triunfel,R,triunca01
Dan Uggla,Dan,Uggla,N/A,2B,6462,Dan Uggla,R,ugglada01
Juan Uribe,Juan,Uribe,N/A,3B,4657,Juan Uribe,R,uribeju01
Jordany Valdespin,Jordany,Valdespin,N/A,2B,30907,Jordany Valdespin,L,valdejo02
Wilson Valdez,Wilson,Valdez,N/A,SS,,,R,valdewi01
Will Venable,Will,Venable,N/A,OF,29224,Will Venable,L,venabwi01
Dayan Viciedo,Dayan,Viciedo,N/A,OF,30103,Dayan Viciedo,R,vicieda01
Shane Victorino,Shane,Victorino,N/A,OF,5409,Shane Victorino,B,victosh01
Josh Vitters,Josh,Vitters,N/A,3B,29978,Josh Vitters,R,vittejo01
Omar Vizquel,Omar,Vizquel,N/A,SS,2149,Omar Vizquel,B,vizquom01
Zach Walters,Zach,Walters,N/A,1B,31199,Zach Walters,B,walteza01
Casper Wells,Casper,Wells,N/A,OF,30069,Casper Wells,R,wellsca01
Vernon Wells,Vernon,Wells,N/A,OF,4166,Vernon Wells,R,wellsve01
Ryan Wheeler,Ryan,Wheeler,N/A,3B,30758,Ryan Wheeler,L,wheelry01
Ty Wigginton,Ty,Wigginton,N/A,1B,5176,Ty Wigginton,R,wiggity01
Josh Willingham,Josh,Willingham,N/A,OF,6024,Josh Willingham,R,willijo03
Bobby Wilson,Bobby,Wilson,N/A,C,29115,Bobby Wilson,R,wilsobo02
DeWayne Wise,DeWayne,Wise,N/A,OF,,,L,wisede01
Brandon Wood,Brandon,Wood,N/A,3B,,,R,woodbr01
Danny Worth,Danny,Worth,N/A,2B,29067,Danny Worth,R,worthda01
Kevin Youkilis,Kevin,Youkilis,N/A,3B,5375,Kevin Youkilis,R,youklke01
Delmon Young,Delmon,Young,N/A,OF,6138,Delmon Young,R,youngde03
Matt Young,Matt,Young,N/A,OF,,,L,youngma02
Michael Young,Michael,Young,N/A,1B,4566,Michael Young,R,youngmi02
Last Player,Last,Player,N/A,OF,,,L,zzzzzzz01
Jay Bruce,Jay,Bruce,NYM,OF,28954,Jay Bruce,L,bruceja01
Asdrubal Cabrera,Asdrubal,Cabrera,NYM,SS,28671,Asdrubal Cabrera,B,cabreas01
Gavin Cecchini,Gavin,Cecchini,NYM,SS,,,R,cecchga02
Yoenis Cespedes,Yoenis,Cespedes,NYM,OF,32080,Yoenis Cespedes,R,cespeyo01
Michael Conforto,Michael,Conforto,NYM,OF,33711,Michael Conforto,L,confomi01
Travis D'Arnaud,Travis,D'Arnaud,NYM,C,29951,Travis d'Arnaud,R,darnatr01
Lucas Duda,Lucas,Duda,NYM,1B,30953,Lucas Duda,L,dudalu01
Wilmer Flores,Wilmer,Flores,NYM,3B,30627,Wilmer Flores,R,florewi01
Curtis Granderson,Curtis,Granderson,NYM,OF,6125,Curtis Granderson,L,grandcu01
Juan Lagares,Juan,Lagares,NYM,OF,31410,Juan Lagares,R,lagarju01
Brandon Nimmo,Brandon,Nimmo,NYM,OF,32159,Brandon Nimmo,L,nimmobr01
Kevin Plawecki,Kevin,Plawecki,NYM,C,33132,Kevin Plawecki,R,plaweke01
Jose Reyes,Jose,Reyes,NYM,3B,5411,Jose Reyes,B,reyesjo01
Rene Rivera,Rene,Rivera,NYM,C,6128,Rene Rivera,R,riverre01
T.J. Rivera,T.J.,Rivera,NYM,1B,,,R,rivertj01
Amed Rosario,Amed,Rosario,NYM,SS,,,R,rosaram01
Justin Ruggiano,Justin,Ruggiano,NYM,OF,28922,Justin Ruggiano,R,ruggiju01
Dominic Smith,Dominic,Smith,NYM,1B,33218,Dominic Smith,L,smithdo01
Wilfredo Tovar,Wilfredo,Tovar,NYM,SS,32190,Wilfredo Tovar,R,tovarwi01
Neil Walker,Neil,Walker,NYM,2B,29590,Neil Walker,B,walkene01
David Wright,David,Wright,NYM,3B,6035,David Wright,R,wrighda03
Tyler Austin,Tyler,Austin,NYY,OF,,,R,austity01
Greg Bird,Greg,Bird,NYY,1B,32695,Greg Bird,L,birdgr01
Chris Carter,Chris,Carter,NYY,1B,29486,Chris Carter,R,cartech02
Starlin Castro,Starlin,Castro,NYY,2B,30450,Starlin Castro,R,castrst01
Jake Cave,Jake,Cave,NYY,OF,33417,Jake Cave,L,caveja01
Jacoby Ellsbury,Jacoby,Ellsbury,NYY,OF,28637,Jacoby Ellsbury,L,ellsbja01
Clint Frazier,Clint,Frazier,NYY,OF,33188,Clint Frazier,R,fraziecl01
Brett Gardner,Brett,Gardner,NYY,OF,29174,Brett Gardner,L,gardnbr01
Didi Gregorius,Didi,Gregorius,NYY,SS,31376,Didi Gregorius,L,gregodi01
Chase Headley,Chase,Headley,NYY,3B,28809,Chase Headley,B,headlch01
Aaron Hicks,Aaron,Hicks,NYY,OF,31253,Aaron Hicks,B,hicksaa01
Matt Holliday,Matt,Holliday,NYY,OF,5940,Matt Holliday,R,hollima01
Aaron Judge,Aaron,Judge,NYY,OF,33192,Aaron Judge,R,judgeaa01
Jorge Mateo,Jorge,Mateo,NYY,SS,33832,Jorge Mateo,R,mateojo01
Billy McKinney,Billy,McKinney,NYY,OF,33196,Billy McKinney,L,mckinbi01
Robert Refsnyder,Robert,Refsnyder,NYY,OF,33411,Robert Refsnyder,R,refsnro01
Austin Romine,Austin,Romine,NYY,C,,,R,rominau01
Blake Rutherford,Blake,Rutherford,NYY,OF,,,L,ruthebl01
Gary Sanchez,Gary,Sanchez,NYY,C,31095,Gary Sanchez,R,sanchga02
Donovan Solano,Donovan,Solano,NYY,2B,29703,Donovan Solano,R,solando01
Ruben Tejada,Ruben,Tejada,NYY,3B,29661,Ruben Tejada,R,tejadru01
Gleyber Torres,Gleyber,Torres,NYY,SS,,,R,torregl01
Ronald Torreyes,Ronald,Torreyes,NYY,3B,,,R,torrero01
Tyler Wade,Tyler,Wade,NYY,SS,,,L,wadety01
Mason Williams,Mason,Williams,NYY,OF,31848,Mason Williams,L,willima10
Eric Young Jr.,Eric,Young Jr.,NYY,DH,29759,Eric Young Jr.,B,younger03
Yonder Alonso,Yonder,Alonso,OAK,1B,30016,Yonder Alonso,L,alonsyo01
Franklin Barreto,Franklin,Barreto,OAK,SS,33226,Franklin Barreto,R,barrefr01
Mark Canha,Mark,Canha,OAK,1B,31670,Mark Canha,R,canhama01
Matt Chapman,Matt,Chapman,OAK,3B,,,R,chapmma01
Khris Davis,Khris,Davis,OAK,OF,31478,Khris Davis,R,daviskh01
Rajai Davis,Rajai,Davis,OAK,OF,28545,Rajai Davis,R,davisra01
Alejandro De Aza,Alejandro,De Aza,OAK,OF,28728,Alejandro De Aza,L,deazaal01
Jaff Decker,Jaff,Decker,OAK,OF,31259,Jaff Decker,L,deckeja01
Ryon Healy,Ryon,Healy,OAK,3B,33970,Ryon Healy,R,healyry01
Matt Joyce,Matt,Joyce,OAK,OF,29124,Matt Joyce,L,joycema01
Ryan Lavarnway,Ryan,Lavarnway,OAK,C,31039,Ryan Lavarnway,R,lavarry01
Jed Lowrie,Jed,Lowrie,OAK,2B,29074,Jed Lowrie,B,lowrije01
Bruce Maxwell,Bruce,Maxwell,OAK,C,,,,maxwebr01
Max Muncy,Max,Muncy,OAK,2B,,,L,muncyma01
Matt Olson,Matt,Olson,OAK,1B,32767,Matt Olson,L,olsonma01
Chris Parmelee,Chris,Parmelee,OAK,1B,30228,Chris Parmelee,L,parmech01
Josh Phegley,Josh,Phegley,OAK,C,30600,Josh Phegley,R,phegljo01
Chad Pinder,Chad,Pinder,OAK,SS,,,R,pindech01
Trevor Plouffe,Trevor,Plouffe,OAK,3B,29441,Trevor Plouffe,R,plouftr01
Jason Pridie,Jason,Pridie,OAK,OF,6463,Jason Pridie,L,pridija01
Adam Rosales,Adam,Rosales,OAK,2B,29206,Adam Rosales,R,rosalad01
Marcus Semien,Marcus,Semien,OAK,SS,32146,Marcus Semien,R,semiema01
Jake Smolinski,Jake,Smolinski,OAK,OF,31558,Jake Smolinski,R,smolija01
Stephen Vogt,Stephen,Vogt,OAK,C,31032,Stephen Vogt,L,vogtst01
Joey Wendle,Joey,Wendle,OAK,2B,,,L,wendljo01
Jorge Alfaro,Jorge,Alfaro,PHI,C,31737,Jorge Alfaro,R,alfarjo01
Aaron Altherr,Aaron,Altherr,PHI,OF,31738,Aaron Altherr,R,altheaa01
Andres Blanco,Andres,Blanco,PHI,2B,,,B,blancan01
Chris Coghlan,Chris,Coghlan,PHI,2B,29772,Chris Coghlan,L,coghlch01
J.P. Crawford,J.P.,Crawford,PHI,SS,33210,J.P. Crawford,L,crawfjp01
Taylor Featherston,Taylor,Featherston,PHI,2B,33407,Taylor Featherston,R,feathta01
Pedro Florimon,Pedro,Florimon,PHI,2B,30310,Pedro Florimon,B,floripe01
Maikel Franco,Maikel,Franco,PHI,3B,32163,Maikel Franco,L,francma02
Freddy Galvis,Freddy,Galvis,PHI,SS,29670,Freddy Galvis,B,galvifr01
Tyler Goeddel,Tyler,Goeddel,PHI,OF,34249,Tyler Goeddel,R,goeddty01
Cesar Hernandez,Cesar,Hernandez,PHI,2B,31130,Cesar Hernandez,B,hernace02
Odubel Herrera,Odubel,Herrera,PHI,OF,32868,Odubel Herrera,L,herreod01
Bryan Holaday,Bryan,Holaday,PHI,C,31961,Bryan Holaday,R,holadbr01
Rhys Hoskins,Rhys,Hoskins,PHI,1B,,,R,hoskirh01
Tommy Joseph,Tommy,Joseph,PHI,1B,31995,Tommy Joseph,R,josepto01
Howie Kendrick,Howie,Kendrick,PHI,2B,6524,Howie Kendrick,R,kendrho01
Mickey Moniak,Mickey,Moniak,PHI,OF,,,L,moniami01
Daniel Nava,Daniel,Nava,PHI,OF,30910,Daniel Nava,B,navada01
Roman Quinn,Roman,Quinn,PHI,OF,32779,Roman Quinn,B,quinnro01
Cameron Rupp,Cameron,Rupp,PHI,C,31811,Cameron Rupp,R,ruppca01
Michael Saunders,Michael,Saunders,PHI,OF,29505,Michael Saunders,L,saundmi01
Brock Stassi,Brock,Stassi,PHI,1B,,,L,stassbr01
Nick Williams,Nick,Williams,PHI,OF,33266,Nick Williams,L,willini01
Josh Bell,Josh,Bell,PIT,1B,32517,Josh Bell,B,belljo02
Francisco Cervelli,Francisco,Cervelli,PIT,C,29273,Francisco Cervelli,R,cervefr01
Adam Frazier,Adam,Frazier,PIT,OF,33546,Adam Frazier,L,fraziad01
David Freese,David,Freese,PIT,3B,29694,David Freese,R,freesda01
Phil Gosselin,Phil,Gosselin,PIT,2B,31222,Phil Gosselin,R,gosseph01
Alen Hanson,Alen,Hanson,PIT,2B,32560,Alen Hanson,B,hansoal01
Josh Harrison,Josh,Harrison,PIT,2B,30934,Josh Harrison,R,harrijo05
John Jaso,John,Jaso,PIT,1B,29255,John Jaso,L,jasojo01
Jung-Ho Kang,Jung-Ho,Kang,PIT,3B,33689,Jung Ho Kang,R,kangju01
Erik Kratz,Erik,Kratz,PIT,C,29524,Erik Kratz,R,kratzer01
Starling Marte,Starling,Marte,PIT,OF,30830,Starling Marte,R,martest01
Andrew McCutchen,Andrew,McCutchen,PIT,OF,28701,Andrew McCutchen,R,mccutan01
Austin Meadows,Austin,Meadows,PIT,OF,33197,Austin Meadows,L,meadoau01
Jordy Mercer,Jordy,Mercer,PIT,SS,30687,Jordy Mercer,R,mercejo03
Kevin Newman,Kevin,Newman,PIT,SS,,,R,newmake01
Eury Perez,Eury,Perez,PIT,OF,31286,Eury Perez,R,perezeu01
Gregory Polanco,Gregory,Polanco,PIT,OF,32950,Gregory Polanco,L,polangr01
Jason Rogers,Jason,Rogers,PIT,1B,32735,Jason Rogers,R,rogerja02
Chris Stewart,Chris,Stewart,PIT,C,28577,Chris Stewart,R,stewach01
Carlos Asuaje,Carlos,Asuaje,SD,2B,,,L,asuajca01
Erick Aybar,Erick,Aybar,SD,SS,6522,Erick Aybar,B,aybarer01
Christian Bethancourt,Christian,Bethancourt,SD,C,31758,Christian Bethancourt,R,bethach01
Jabari Blash,Jabari,Blash,SD,OF,31765,Jabari Blash,R,blashja01
Alex Dickerson,Alex,Dickerson,SD,OF,32956,Alex Dickerson,L,dickeal01
Austin Hedges,Austin,Hedges,SD,C,32168,Austin Hedges,R,hedgeau01
Travis Jankowski,Travis,Jankowski,SD,OF,32751,Travis Jankowski,L,jankotr01
Manuel Margot,Manuel,Margot,SD,OF,33599,Manuel Margot,R,margoma01
Wil Myers,Wil,Myers,SD,1B,31265,Wil Myers,R,myerswi01
Rafael Ortega,Rafael,Ortega,SD,OF,31833,Rafael Ortega,L,ortegra01
Jose Pirela,Jose,Pirela,SD,2B,30817,Jose Pirela,R,pireljo01
Hunter Renfroe,Hunter,Renfroe,SD,OF,33205,Hunter Renfroe,R,renfrhu01
Hector Sanchez,Hector,Sanchez,SD,C,30567,Hector Sanchez,B,sanchhe01
Luis Sardinas,Luis,Sardinas,SD,SS,31927,Luis Sardinas,B,sardilu01
Ryan Schimpf,Ryan,Schimpf,SD,2B,30909,Ryan Schimpf,L,schimry01
Yangervis Solarte,Yangervis,Solarte,SD,3B,30898,Yangervis Solarte,B,solarya01
Cory Spangenberg,Cory,Spangenberg,SD,2B,32169,Cory Spangenberg,L,spangco01
Luis Urias,Luis,Urias,SD,2B,,,R,uriaslu01
Brett Wallace,Brett,Wallace,SD,3B,30174,Brett Wallace,L,wallabr01
Robinson Cano,Robinson,Cano,SEA,2B,6204,Robinson Cano,L,canoro01
Nelson Cruz,Nelson,Cruz,SEA,OF,6242,Nelson Cruz,R,cruzne02
Jarrod Dyson,Jarrod,Dyson,SEA,OF,30461,Jarrod Dyson,L,dysonja01
Ben Gamel,Ben,Gamel,SEA,OF,31824,Ben Gamel,L,gamelbe01
Tuffy Gosewisch,Tuffy,Gosewisch,SEA,C,29669,Tuffy Gosewisch,R,gosewtu01
Mitch Haniger,Mitch,Haniger,SEA,OF,,,R,hanigmi01
Guillermo Heredia,Guillermo,Heredia,SEA,OF,,,R,heredgu01
Kyle Lewis,Kyle,Lewis,SEA,OF,,,R,lewisky01
Leonys Martin,Leonys,Martin,SEA,OF,31588,Leonys Martin,L,martile01
Taylor Motter,Taylor,Motter,SEA,OF,32715,Taylor Motter,R,motteta01
Shawn O'Malley,Shawn,O'Malley,SEA,SS,30711,Shawn O'Malley,B,omallsh01
Tyler O'Neill,Tyler,O'Neill,SEA,OF,,,R,oneilty01
D.J. Peterson,D.J.,Peterson,SEA,3B,33208,D.J. Peterson,R,peterdj01
Carlos Ruiz,Carlos,Ruiz,SEA,C,28447,Carlos Ruiz,R,ruizca01
Kyle Seager,Kyle,Seager,SEA,3B,30819,Kyle Seager,L,seageky01
Jean Segura,Jean,Segura,SEA,SS,31037,Jean Segura,R,segurje01
Danny Valencia,Danny,Valencia,SEA,3B,29439,Danny Valencia,R,valenda01
Dan Vogelbach,Dan,Vogelbach,SEA,1B,32851,Dan Vogelbach,L,vogelda01
Mike Zunino,Mike,Zunino,SEA,C,32657,Mike Zunino,R,zuninmi01
Christian Arroyo,Christian,Arroyo,SF,SS,,,R,arroych01
Brandon Belt,Brandon,Belt,SF,1B,30901,Brandon Belt,L,beltbr01
Trevor Brown,Trevor,Brown,SF,C,,,R,browntr01
Brandon Crawford,Brandon,Crawford,SF,SS,30469,Brandon Crawford,L,crawfbr01
Tim Federowicz,Tim,Federowicz,SF,C,31038,Tim Federowicz,R,federti01
Conor Gillaspie,Conor,Gillaspie,SF,3B,29263,Conor Gillaspie,L,gillaco01
Gorkys Hernandez,Gorkys,Hernandez,SF,OF,29550,Gorkys Hernandez,R,hernago01
Nick Hundley,Nick,Hundley,SF,C,29180,Nick Hundley,R,hundlni01
Michael Morse,Michael,Morse,SF,1B,6300,Michael Morse,R,morsemi01
Eduardo Nunez,Eduardo,Nunez,SF,SS,30290,Eduardo Nunez,R,nunezed02
Joe Panik,Joe,Panik,SF,2B,32087,Joe Panik,L,panikjo01
Jarrett Parker,Jarrett,Parker,SF,OF,31499,Jarrett Parker,L,parkeja03
Ramiro Pena,Ramiro,Pena,SF,2B,30121,Ramiro Pena,B,penara02
Hunter Pence,Hunter,Pence,SF,OF,28687,Hunter Pence,R,pencehu01
Josmil Pinto,Josmil,Pinto,SF,C,31851,Josmil Pinto,R,pintojo01
Buster Posey,Buster,Posey,SF,C,30112,Buster Posey,R,poseybu01
Denard Span,Denard,Span,SF,OF,29087,Denard Span,L,spande01
Kelby Tomlinson,Kelby,Tomlinson,SF,2B,33394,Kelby Tomlinson,R,tomlike01
Mac Williamson,Mac,Williamson,SF,OF,32765,Mac Williamson,R,willima11
Matt Adams,Matt,Adams,STL,1B,31359,Matt Adams,L,adamsma01
Dean Anna,Dean,Anna,STL,SS,30851,Dean Anna,L,annade01
Matt Carpenter,Matt,Carpenter,STL,2B,31015,Matt Carpenter,L,carpema01
Todd Cunningham,Todd,Cunningham,STL,OF,31227,Todd Cunningham,B,cunnito01
Aledmys Diaz,Aledmys,Diaz,STL,SS,33390,Aledmys Diaz,R,diazal02
Dexter Fowler,Dexter,Fowler,STL,OF,29252,Dexter Fowler,B,fowlede01
Greg Garcia,Greg,Garcia,STL,SS,32211,Greg Garcia,L,garcigr01
Randal Grichuk,Randal,Grichuk,STL,OF,31399,Randal Grichuk,R,grichra01
Jedd Gyorko,Jedd,Gyorko,STL,SS,31402,Jedd Gyorko,R,gyorkje01
Carson Kelly,Carson,Kelly,STL,C,,,R,kellyca02
Jose Martinez,Jose,Martinez,STL,OF,31275,Jose Martinez,R,martijo08
Yadier Molina,Yadier,Molina,STL,C,5986,Yadier Molina,R,molinya01
Jhonny Peralta,Jhonny,Peralta,STL,3B,5527,Jhonny Peralta,R,peraljh01
Delvin Perez,Delvin,Perez,STL,SS,,,R,perezde01
Tommy Pham,Tommy,Pham,STL,OF,31208,Tommy Pham,R,phamto01
Stephen Piscotty,Stephen,Piscotty,STL,OF,32842,Stephen Piscotty,R,piscost01
Kolten Wong,Kolten,Wong,STL,2B,32061,Kolten Wong,L,wongko01
Willy Adames,Willy,Adames,TB,SS,,,R,adamewi01
Jake Bauers,Jake,Bauers,TB,1B,,,L,bauerja01
Tim Beckham,Tim,Beckham,TB,SS,30212,Tim Beckham,R,beckhti01
Peter Bourjos,Peter,Bourjos,TB,OF,29318,Peter Bourjos,R,bourjpe01
Curt Casali,Curt,Casali,TB,C,32049,Curt Casali,R,casalcu01
Jason Coats,Jason,Coats,TB,OF,,,R,coatsja01
Corey Dickerson,Corey,Dickerson,TB,OF,31684,Corey Dickerson,L,dickeco01
Matt Duffy,Matt,Duffy,TB,3B,33453,Matt Duffy,R,duffyma01
Nick Franklin,Nick,Franklin,TB,OF,30661,Nick Franklin,B,frankni01
Kevin Kiermaier,Kevin,Kiermaier,TB,OF,31446,Kevin Kiermaier,L,kiermke01
Evan Longoria,Evan,Longoria,TB,3B,28639,Evan Longoria,R,longoev01
Luke Maile,Luke,Maile,TB,C,,,R,mailelu01
Michael McKenry,Michael,McKenry,TB,C,30529,Michael McKenry,R,mckenmi01
Brad Miller,Brad,Miller,TB,SS,32206,Brad Miller,L,millebr02
Logan Morrison,Logan,Morrison,TB,1B,30536,Logan Morrison,L,morrilo01
Derek Norris,Derek,Norris,TB,C,30608,Derek Norris,R,norride01
Shane Peterson,Shane,Peterson,TB,OF,31381,Shane Peterson,L,petersh01
Wilson Ramos,Wilson,Ramos,TB,C,30173,Wilson Ramos,R,ramoswi01
Colby Rasmus,Colby,Rasmus,TB,OF,28973,Colby Rasmus,L,rasmuco01
Mallex Smith,Mallex,Smith,TB,OF,32933,Mallex Smith,R,smithma05
Steven Souza,Steven,Souza,TB,OF,30632,Steven Souza Jr.,R,souzast01
Rickie Weeks,Rickie,Weeks,TB,OF,5652,Rickie Weeks,R,weeksri01
Elvis Andrus,Elvis,Andrus,TEX,SS,29515,Elvis Andrus,R,andruel01
Adrian Beltre,Adrian,Beltre,TEX,3B,3878,Adrian Beltre,R,beltrad01
Robinson Chirinos,Robinson,Chirinos,TEX,C,30445,Robinson Chirinos,R,chiriro01
Shin-Soo Choo,Shin-Soo,Choo,TEX,OF,6205,Shin-Soo Choo,L,choosh01
Delino Deshields Jr.,Delino,Deshields Jr.,TEX,OF,31360,Delino DeShields,R,deshide02
Joey Gallo,Joey,Gallo,TEX,3B,32818,Joey Gallo,L,gallojo01
Carlos Gomez,Carlos,Gomez,TEX,OF,28762,Carlos Gomez,R,gomezca01
Josh Hamilton,Josh,Hamilton,TEX,OF,4652,Josh Hamilton,L,hamiljo03
Jared Hoying,Jared,Hoying,TEX,OF,31217,Jared Hoying,L,hoyinja01
James Jones,James,Jones,TEX,OF,30684,James Jones,L,jonesja06
James Loney,James,Loney,TEX,1B,6497,James Loney,L,loneyja01
Jonathan Lucroy,Jonathan,Lucroy,TEX,C,30456,Jonathan Lucroy,R,lucrojo01
Nomar Mazara,Nomar,Mazara,TEX,OF,32820,Nomar Mazara,L,mazarno01
Will Middlebrooks,Will,Middlebrooks,TEX,3B,31232,Will Middlebrooks,R,middlwi01
Mike Napoli,Mike,Napoli,TEX,1B,28444,Mike Napoli,R,napolmi01
Rougned Odor,Rougned,Odor,TEX,2B,32170,Rougned Odor,L,odorro01
Jurickson Profar,Jurickson,Profar,TEX,3B,31117,Jurickson Profar,B,profaju01
Ryan Rua,Ryan,Rua,TEX,OF,33631,Ryan Rua,R,ruary01
Travis Snider,Travis,Snider,TEX,OF,29189,Travis Snider,L,snidetr01
Leody Taveras,Leody,Taveras,TEX,OF,,,B,taverle01
Anderson Tejeda,Anderson,Tejeda,TEX,2B,,,L,tejedan01
Anthony Alford,Anthony,Alford,TOR,OF,32812,Anthony Alford,R,alforan01
Darwin Barney,Darwin,Barney,TOR,SS,29567,Darwin Barney,R,barneda01
Jose Bautista,Jose,Bautista,TOR,OF,5890,Jose Bautista,R,bautijo02
Ezequiel Carrera,Ezequiel,Carrera,TOR,OF,29008,Ezequiel Carrera,L,carreez01
Josh Donaldson,Josh,Donaldson,TOR,3B,29563,Josh Donaldson,R,donaljo02
Jake Elmore,Jake,Elmore,TOR,OF,32179,Jake Elmore,R,elmorja01
Ryan Goins,Ryan,Goins,TOR,SS,30636,Ryan Goins,L,goinsry01
Lourdes Gourriel,Lourdes,Gourriel,TOR,3B,,,R,gourrlo01
A.J. Jimenez,A.J.,Jimenez,TOR,C,31050,A.J. Jimenez,R,jimena.01
Russell Martin,Russell,Martin,TOR,C,6390,Russell Martin,R,martiru01
Kendrys Morales,Kendrys,Morales,TOR,DH,6188,Kendrys Morales,B,moralke01
Steve Pearce,Steve,Pearce,TOR,1B,28886,Steve Pearce,R,pearcst01
Kevin Pillar,Kevin,Pillar,TOR,OF,32859,Kevin Pillar,R,pillake01
Dalton Pompey,Dalton,Pompey,TOR,DH,32210,Dalton Pompey,B,pompeda01
Jarrod Saltalamacchia,Jarrod,Saltalamacchia,TOR,C,28663,Jarrod Saltalamacchia,B,saltaja01
Justin Smoak,Justin,Smoak,TOR,1B,30175,Justin Smoak,B,smoakju01
Rowdy Tellez,Rowdy,Tellez,TOR,1B,,,L,tellero01
