IDPLAYER,PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,THROWS
tayloan01,Andrew Taylor,Andrew,Taylor,N/A,P,30568,Andrew Taylor,L
tazawju01,Junichi Tazawa,Junichi,Tazawa,MIA,P,30095,Junichi Tazawa,R
teherju01,Julio Teheran,Julio,Teheran,ATL,P,31091,Julio Teheran,R
tepesni01,Nick Tepesch,Nick,Tepesch,MIN,P,32700,Nick Tepesch,R
thatcjo01,Joe Thatcher,Joe,Thatcher,N/A,P,28836,Joe Thatcher,L
thayeda01,Dale Thayer,Dale,Thayer,N/A,P,29817,Dale Thayer,R
thomaju01,Justin Thomas,Justin,Thomas,N/A,P,,,L
thompja03,Jake Thompson,Jake,Thompson,PHI,P,32832,Jake Thompson,R
thornma01,Matt Thornton,Matt,Thornton,N/A,P,5650,Matt Thornton,L
thornty01,Tyler Thornburg,Tyler,Thornburg,BOS,P,31887,Tyler Thornburg,R
tillmch01,Chris Tillman,Chris,Tillman,BAL,P,30285,Chris Tillman,R
tollesh01,Shawn Tolleson,Shawn,Tolleson,TB,P,31886,Shawn Tolleson,R
tomlijo01,Josh Tomlin,Josh,Tomlin,CLE,P,30944,Josh Tomlin,R
torreal01,Alex Torres,Alex,Torres,N/A,P,31125,Alex Torres,L
torreca01,Carlos Torres,Carlos,Torres,MIL,P,29347,Carlos Torres,R
treinbl01,Blake Treinen,Blake,Treinen,WAS,P,32185,Blake Treinen,R
triggan01,Andrew Triggs,Andrew,Triggs,OAK,P,33589,Andrew Triggs,R
tropeni01,Nicholas Tropeano,Nicholas,Tropeano,LAA,P,33170,Nick Tropeano,R
turneja01,Jacob Turner,Jacob,Turner,WAS,P,30526,Jacob Turner,R
ueharko01,Koji Uehara,Koji,Uehara,CHC,P,30130,Koji Uehara,R
urenajo01,Jose Urena,Jose,Urena,MIA,P,33107,Jose Urena,R
uriasju01,Julio Urias,Julio,Urias,LAD,P,33223,Julio Urias,L
valdejo01,Jose Valdez,Jose,Valdez,N/A,P,29468,Jose Valdez,R
valdera02,Raul Valdes,Raul,Valdes,N/A,P,30889,Raul Valdes,L
valvejo01,Jose Valverde,Jose,Valverde,N/A,P,5504,Jose Valverde,R
vanderi01,Rick VandenHurk,Rick,VandenHurk,N/A,P,,,R
vargace01,Cesar Vargas,Cesar,Vargas,SD,P,33877,Cesar Vargas,R
vargaja01,Jason Vargas,Jason,Vargas,KC,P,6352,Jason Vargas,L
varvaan01,Anthony Varvaro,Anthony,Varvaro,N/A,P,30386,Anthony Varvaro,R
vasques01,Esmerling Vasquez,Esmerling,Vasquez,N/A,P,,,R
vazquja01,Javier Vazquez,Javier,Vazquez,N/A,P,,,R
velasvi01,Vincent Velasquez,Vincent,Velasquez,PHI,P,31878,Vincent Velasquez,R
ventejo01,Jonny Venters,Jonny,Venters,N/A,P,30509,Jonny Venters,L
ventuyo01,Yordano Ventura,Yordano,Ventura,N/A,P,31876,Yordano Ventura,R
verasjo01,Jose Veras,Jose,Veras,N/A,P,28498,Jose Veras,R
verlaju01,Justin Verlander,Justin,Verlander,DET,P,6341,Justin Verlander,R
verrelo01,Logan Verrett,Logan,Verrett,BAL,P,33131,Logan Verrett,R
villabr02,Brayan Villarreal,Brayan,Villarreal,N/A,P,31131,Brayan Villarreal,R
villaca01,Carlos Villanueva,Carlos,Villanueva,N/A,P,28466,Carlos Villanueva,R
vinceni01,Nick Vincent,Nick,Vincent,SEA,P,31540,Nick Vincent,R
vizcaar01,Arodys Vizcaino,Arodys,Vizcaino,ATL,P,31087,Arodys Vizcaino,R
vogelry01,Ryan Vogelsong,Ryan,Vogelsong,MIN,P,4514,Ryan Vogelsong,R
volqued01,Edinson Volquez,Edinson,Volquez,MIA,P,6401,Edinson Volquez,R
volstch01,Chris Volstad,Chris,Volstad,CHW,P,28874,Chris Volstad,R
wachami01,Michael Wacha,Michael,Wacha,STL,P,32640,Michael Wacha,R
wadats01,Tsuyoshi Wada,Tsuyoshi,Wada,N/A,P,32042,Tsuyoshi Wada,L
wadeco01,Cory Wade,Cory,Wade,N/A,P,,,R
wagnebi02,Billy Wagner,Billy,Wagner,N/A,P,3375,Billy Wagner,R
wainwad01,Adam Wainwright,Adam,Wainwright,STL,P,5403,Adam Wainwright,R
waldejo01,Jordan Walden,Jordan,Walden,N/A,P,29323,Jordan Walden,R
waldrky01,Kyle Waldrop,Kyle,Waldrop,N/A,P,,,R
walketa01,Taijuan Walker,Taijuan,Walker,ARI,P,31864,Taijuan Walker,R
walljo02,Josh Wall,Josh,Wall,N/A,P,32039,Josh Wall,R
waltepj01,P.J. Walters,P.J.,Walters,N/A,P,,,R
wangch01,Chien-Ming Wang,Chien-Ming,Wang,N/A,P,,,R
warread01,Adam Warren,Adam,Warren,NYY,P,31101,Adam Warren,R
watsoto01,Tony Watson,Tony,Watson,PIT,P,31513,Tony Watson,L
weaveje02,Jered Weaver,Jered,Weaver,SD,P,6479,Jered Weaver,R
weavelu01,Luke Weaver,Luke,Weaver,STL,P,33770,Luke Weaver,R
webbbr01,Brandon Webb,Brandon,Webb,N/A,P,,,R
webbda01,Daniel Webb,Daniel,Webb,N/A,P,31733,Daniel Webb,R
webbry01,Ryan Webb,Ryan,Webb,MIL,P,30032,Ryan Webb,R
webstal01,Allen Webster,Allen,Webster,N/A,P,31119,Allen Webster,R
weilaky01,Kyle Weiland,Kyle,Weiland,N/A,P,30521,Kyle Weiland,R
wellsra01,Randy Wells,Randy,Wells,N/A,P,,,R
westbja01,Jake Westbrook,Jake,Westbrook,N/A,P,4422,Jake Westbrook,R
wheelza01,Zack Wheeler,Zack,Wheeler,NYM,P,31267,Zack Wheeler,R
whiteal01,Alex White,Alex,White,N/A,P,30446,Alex White,R
whitlch01,Chase Whitley,Chase,Whitley,TB,P,31858,Chase Whitley,R
wielajo01,Joe Wieland,Joe,Wieland,N/A,P,31856,Joe Wieland,R
wilheto01,Tom Wilhelmsen,Tom,Wilhelmsen,ARI,P,31517,Tom Wilhelmsen,R
wilkeaa01,Aaron Wilkerson,Aaron,Wilkerson,MIL,P,,,R
willido01,Dontrelle Willis,Dontrelle,Willis,N/A,P,,,R
willije01,Jerome Williams,Jerome,Williams,N/A,P,5026,Jerome Williams,L
wilsoal01,Alex Wilson,Alex,Wilson,DET,P,31557,Alex Wilson,R
wilsobr01,Brian Wilson,Brian,Wilson,N/A,P,6521,Brian Wilson,R
wilsocj01,C.J. Wilson,C.J.,Wilson,N/A,P,6311,C.J. Wilson,L
wilsoju10,Justin Wilson,Justin,Wilson,DET,P,31026,Justin Wilson,L
wislema01,Matt Wisler,Matt,Wisler,ATL,P,32802,Matt Wisler,R
wolfra01,Randy Wolf,Randy,Wolf,N/A,P,4087,Randy Wolf,L
woodal02,Alex Wood,Alex,Wood,LAD,P,32620,Alex Wood,L
woodke02,Kerry Wood,Kerry,Wood,N/A,P,,,R
woodrbr01,Brandon Woodruff,Brandon,Woodruff,MIL,P,,,R
woodti01,Tim Wood,Tim,Wood,N/A,P,30048,Tim Wood,R
woodtr01,Travis Wood,Travis,Wood,KC,P,30515,Travis Wood,L
workmbr01,Brandon Workman,Brandon,Workman,N/A,P,32973,Brandon Workman,R
worleva01,Vance Worley,Vance,Worley,WAS,P,30943,Vance Worley,R
wrighja01,Jamey Wright,Jamey,Wright,N/A,P,3489,Jamey Wright,R
wrighmi01,Mike Wright,Mike,Wright,BAL,P,32291,Mike Wright,R
wrighst01,Steven Wright,Steven,Wright,BOS,P,32587,Steven Wright,R
wrighwe01,Wesley Wright,Wesley,Wright,N/A,P,28940,Wesley Wright,L
ynoaga01,Gabriel Ynoa,Gabriel,Ynoa,NYM,P,,,R
youngch03,Chris Young (P),Chris,Young (P),KC,P,6073,Chris Young,R
zambrca01,Carlos Zambrano,Carlos,Zambrano,N/A,P,,,R
zieglbr01,Brad Ziegler,Brad,Ziegler,MIA,P,29147,Brad Ziegler,R
zimmejo02,Jordan Zimmermann,Jordan,Zimmermann,DET,P,30209,Jordan Zimmermann,R
zimmeky01,Kyle Zimmer,Kyle,Zimmer,KC,P,32689,Kyle Zimmer,R
zitoba01,Barry Zito,Barry,Zito,N/A,P,4233,Barry Zito,L
zychto01,Tony Zych,Tony,Zych,SEA,P,32182,Tony Zych,R
